0001.out;1.37617E-4;6.8109E-5;6.4376E-5;6.2044E-5;5.9711E-5;5.9245E-5;5.9245E-5;5.9245E-5;5.9712E-5;5.8779E-5;
0002.out;7.5106E-5;6.7176E-5;6.531E-5;6.7176E-5;6.6243E-5;7.324E-5;6.5776E-5;6.6242E-5;6.8109E-5;6.5776E-5;
0003.out;5.1315E-5;4.3384E-5;4.2917E-5;4.2918E-5;4.2918E-5;4.2917E-5;4.2918E-5;4.3384E-5;4.2918E-5;4.3384E-5;
0004.out;8.6302E-5;7.9305E-5;7.7905E-5;7.7438E-5;8.9567E-5;8.8635E-5;8.8634E-5;8.8635E-5;8.3037E-5;1.04029E-4;
0005.out;1.11493E-4;9.3766E-5;7.3707E-5;7.5572E-5;1.05428E-4;6.2044E-5;6.9042E-5;5.9711E-5;6.391E-5;6.0644E-5;
0006.out;7.0441E-5;7.0441E-5;6.9041E-5;6.5776E-5;6.5309E-5;5.2715E-5;4.6183E-5;3.9186E-5;3.4987E-5;3.7787E-5;
0007.out;8.7235E-5;6.9508E-5;6.9042E-5;6.8576E-5;6.8109E-5;6.8575E-5;6.8109E-5;6.7642E-5;6.8575E-5;6.9508E-5;
0008.out;4.8516E-5;4.0585E-5;4.0119E-5;4.0119E-5;4.0119E-5;5.8779E-5;4.525E-5;4.3384E-5;4.2918E-5;4.0585E-5;
0009.out;9.1901E-5;7.9771E-5;7.6972E-5;7.6039E-5;7.5106E-5;7.4173E-5;7.5572E-5;7.5106E-5;1.03562E-4;8.9101E-5;
0010.out;9.6565E-5;8.3036E-5;8.257E-5;8.4436E-5;8.1171E-5;8.4902E-5;7.8371E-5;7.8372E-5;7.8372E-5;8.0705E-5;
0011.out;1.26421E-4;1.15225E-4;1.1989E-4;1.2129E-4;1.20356E-4;1.20357E-4;1.24088E-4;1.19423E-4;1.20356E-4;1.20357E-4;
0012.out;1.44148E-4;1.20357E-4;1.21756E-4;1.20823E-4;1.25488E-4;1.2782E-4;1.18957E-4;1.18024E-4;1.19424E-4;1.18957E-4;
0013.out;1.17557E-4;1.08227E-4;1.03096E-4;1.02163E-4;1.12892E-4;1.07294E-4;1.0263E-4;1.04496E-4;1.03097E-4;1.0263E-4;
0014.out;1.43215E-4;1.39016E-4;1.39016E-4;1.42748E-4;1.3855E-4;1.3715E-4;1.37151E-4;1.37617E-4;1.37617E-4;0.00169852;
0015.out;1.04962E-4;9.7498E-5;9.8431E-5;9.8897E-5;9.8431E-5;9.8898E-5;9.8431E-5;9.8898E-5;9.7498E-5;9.7498E-5;
0016.out;1.15225E-4;1.04496E-4;1.03562E-4;1.03096E-4;1.04495E-4;1.04495E-4;1.06828E-4;1.03096E-4;1.03096E-4;1.05429E-4;
0017.out;1.71671E-4;1.50212E-4;1.47413E-4;1.51145E-4;1.49746E-4;1.49746E-4;1.53012E-4;1.46946E-4;1.48346E-4;1.46947E-4;
0018.out;1.17558E-4;1.14759E-4;1.14759E-4;1.14759E-4;1.20357E-4;1.14292E-4;1.14292E-4;1.13826E-4;1.15225E-4;1.23156E-4;
0019.out;1.726E-5;2.7057E-5;2.6124E-5;1.1195E-5;1.073E-5;1.0729E-5;1.0263E-5;1.0263E-5;1.073E-5;1.073E-5;
0020.out;2.08059E-4;1.68872E-4;1.68406E-4;1.70272E-4;1.66539E-4;1.68872E-4;1.68872E-4;1.70272E-4;1.67939E-4;1.67472E-4;
0021.out;1.60942E-4;1.40416E-4;1.39949E-4;1.39483E-4;1.40882E-4;1.40416E-4;1.39949E-4;1.39016E-4;1.40415E-4;1.43215E-4;
0022.out;2.36981E-4;2.29983E-4;2.27651E-4;2.32316E-4;3.12087E-4;2.4771E-4;2.49576E-4;2.46311E-4;2.42579E-4;2.43979E-4;
0023.out;2.99492E-4;4.38975E-4;2.99025E-4;4.68364E-4;4.5297E-4;4.623E-4;4.64165E-4;4.58567E-4;4.65098E-4;2.98092E-4;
0024.out;2.29983E-4;2.22053E-4;2.22053E-4;2.17388E-4;2.36515E-4;2.29051E-4;2.17855E-4;2.18788E-4;2.32782E-4;2.24852E-4;
