spd;
0001.out;0.083271016;0.002757507;0.002365177;0.001954653;0.001800706;0.001543196;0.001396247;0.002136123;0.001054767;9.68463E-4;
0002.out;0.00154413;0.001385051;0.001300614;0.001326272;0.001174191;0.00155999;9.56334E-4;8.75629E-4;7.51538E-4;7.71599E-4;
0003.out;8.74695E-4;6.08788E-4;3.7507E-4;3.93263E-4;4.11457E-4;3.95129E-4;5.43944E-4;4.38514E-4;4.62306E-4;3.94196E-4;
0004.out;0.001700875;5.19686E-4;5.26683E-4;3.41481E-4;5.67736E-4;4.19854E-4;4.36648E-4;3.60607E-4;3.50344E-4;3.23287E-4;
0005.out;4.68836E-4;3.30752E-4;4.88896E-4;4.22186E-4;3.12091E-4;2.90166E-4;2.60309E-4;2.63108E-4;3.23288E-4;3.14424E-4;
0006.out;4.31983E-4;4.35249E-4;3.04628E-4;2.85967E-4;2.76171E-4;3.0556E-4;3.17689E-4;2.96696E-4;3.21421E-4;2.97164E-4;
0007.out;3.14891E-4;3.74603E-4;2.34652E-4;2.74771E-4;2.27654E-4;2.3885E-4;2.60776E-4;3.10225E-4;2.96231E-4;3.17223E-4;
0008.out;3.50344E-4;3.04628E-4;2.07128E-4;2.02463E-4;2.02463E-4;1.98731E-4;2.10393E-4;1.97798E-4;2.35118E-4;2.19257E-4;
0009.out;4.55774E-4;4.70236E-4;3.13957E-4;3.22821E-4;3.69005E-4;3.04161E-4;3.06959E-4;2.80836E-4;3.14891E-4;3.87198E-4;
0010.out;5.65403E-4;3.52211E-4;3.15823E-4;3.01828E-4;3.01362E-4;2.95297E-4;2.88299E-4;2.89699E-4;2.89233E-4;3.08359E-4;
0011.out;4.73502E-4;3.96528E-4;3.15357E-4;3.14891E-4;3.33085E-4;3.25153E-4;3.62007E-4;4.33849E-4;3.41015E-4;3.49878E-4;
0012.out;4.94028E-4;4.54375E-4;4.11923E-4;6.00391E-4;3.59208E-4;6.06456E-4;5.11756E-4;3.69005E-4;3.28419E-4;3.09292E-4;
0013.out;3.62941E-4;3.14891E-4;3.19555E-4;2.85967E-4;5.5374E-4;2.77104E-4;4.0306E-4;5.77999E-4;4.61373E-4;2.69639E-4;
0014.out;5.39745E-4;5.25283E-4;4.98693E-4;4.63239E-4;3.20488E-4;3.1769E-4;3.41015E-4;3.60608E-4;3.48479E-4;5.25751E-4;
0015.out;2.883E-4;3.6294E-4;2.64042E-4;2.73372E-4;2.77104E-4;3.22354E-4;2.35119E-4;2.53778E-4;2.40716E-4;2.48647E-4;
0016.out;5.18287E-4;4.26852E-4;3.79735E-4;3.62007E-4;3.63874E-4;3.72737E-4;3.68072E-4;4.35249E-4;4.53442E-4;3.96063E-4;
0017.out;4.49244E-4;6.15786E-4;4.07725E-4;3.76469E-4;3.96529E-4;6.3118E-4;6.48441E-4;5.53274E-4;4.17521E-4;3.83E-4;
0018.out;3.58741E-4;3.39615E-4;2.79902E-4;2.85968E-4;2.83168E-4;2.7897E-4;2.83634E-4;2.84101E-4;2.85034E-4;2.78037E-4;
0019.out;4.86564E-4;5.68203E-4;4.69303E-4;4.05858E-4;4.05393E-4;4.02594E-4;4.01661E-4;4.01194E-4;4.11457E-4;3.96062E-4;
0020.out;3.80201E-4;5.28083E-4;4.27784E-4;4.07258E-4;3.58275E-4;3.54077E-4;3.56409E-4;3.54077E-4;3.56409E-4;3.78335E-4;
0021.out;3.76003E-4;4.13323E-4;4.03993E-4;4.19854E-4;3.71804E-4;3.70871E-4;3.71804E-4;3.68538E-4;3.61075E-4;4.03059E-4;
0022.out;3.37749E-4;3.96996E-4;3.5221E-4;5.13155E-4;3.43348E-4;3.27486E-4;3.3495E-4;3.37283E-4;3.6434E-4;3.55942E-4;
0023.out;4.84698E-4;7.66E-4;6.78297E-4;4.98693E-4;4.54375E-4;5.03358E-4;9.77326E-4;5.37879E-4;5.28549E-4;5.6587E-4;
0024.out;0.002897925;4.14723E-4;3.73204E-4;5.66336E-4;3.55942E-4;8.52303E-4;3.82534E-4;3.81134E-4;4.10057E-4;3.61074E-4;
0025.out;4.24519E-4;4.31983E-4;3.41481E-4;3.6434E-4;3.55942E-4;3.33551E-4;3.35417E-4;3.34017E-4;3.2702E-4;3.37749E-4;
0026.out;3.18156E-4;3.30285E-4;2.94365E-4;2.92964E-4;2.99496E-4;3.70405E-4;3.52211E-4;3.27019E-4;3.20488E-4;3.23287E-4;
0027.out;5.92927E-4;5.30881E-4;4.98693E-4;4.55774E-4;4.52042E-4;4.52976E-4;4.5111E-4;4.4971E-4;4.50177E-4;4.52042E-4;
0028.out;4.15655E-4;4.68371E-4;4.05393E-4;4.15656E-4;3.96996E-4;3.94662E-4;4.01193E-4;4.12856E-4;5.01493E-4;4.1239E-4;
0029.out;3.63874E-4;3.99795E-4;3.60142E-4;3.55009E-4;3.58275E-4;3.53611E-4;3.3495E-4;3.63407E-4;3.34484E-4;3.64806E-4;
0030.out;3.50811E-4;3.74603E-4;3.37749E-4;3.68072E-4;3.35416E-4;3.44747E-4;3.28419E-4;3.30752E-4;3.27486E-4;3.23287E-4;
0031.out;4.2312E-4;4.35249E-4;3.95129E-4;3.86732E-4;3.76469E-4;3.88598E-4;3.80667E-4;3.81601E-4;4.00727E-4;3.95595E-4;
0032.out;5.66802E-4;5.01958E-4;4.43645E-4;4.53909E-4;4.62772E-4;4.47844E-4;4.50177E-4;4.43179E-4;4.45045E-4;4.64172E-4;
